pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
GSK1904529A,Preclinical,IGF-1 inhibitor|insulin growth factor receptor inhibitor|insulin receptor ligand,IGF1R|INSR,,,TRUE,,
PD-184352,Phase 2,MEK inhibitor,MAP2K1|MAP3K1|MAP3K2,,,TRUE,,
E7449,Phase 2,PARP inhibitor,PARP1|PARP2|TNKS|TNKS2,,,TRUE,,
dronedarone,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|KCNA5|KCNH2|KCNK2|SCN1A,cardiology,atrial fibrillation (AF),TRUE,,
posaconazole,Launched,sterol demethylase inhibitor,CYP3A4,infectious disease,oropharyngeal candidiasis,TRUE,,
UK-383367,Phase 1,procollagen C-endopeptidase inhibitor,BMP1,,,TRUE,,
vinblastine,Launched,microtubule inhibitor|tubulin polymerization inhibitor,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,hematologic malignancy|infectious disease|oncology,Hodgkin's lymphoma|true histiocytic lymphoma (THL)|mycosis|small lymphocytic lymphoma (SLL)|testicular carcinoma|Kaposi sarcoma,TRUE,,
GSK1838705A,Preclinical,insulin growth factor receptor inhibitor,ALK|IGF1R|INSR|RPS6KA1,,,TRUE,,
cabazitaxel,Launched,microtubule inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,prostate cancer,TRUE,,
BMS-599626,Phase 1,EGFR inhibitor|protein tyrosine kinase inhibitor,EGFR|ERBB2|ERBB4,,,TRUE,,
dexrazoxane,Launched,chelating agent|topoisomerase inhibitor,TOP2A|TOP2B,cardiology,cardiomyopathy,TRUE,,
PF-04691502,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,TRUE,,
BAM7,Preclinical,BAX activator,BAX,,,TRUE,,
WHI-P154,Preclinical,JAK inhibitor,EGFR|JAK1|JAK2|JAK3,,,TRUE,,
curcumin,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH,,,TRUE,,
sparfloxacin,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,,,TRUE,,
VX-702,Phase 2,p38 MAPK inhibitor,IL1B|IL6|MAPK11|MAPK12|MAPK14|TNF,,,TRUE,,
danusertib,Phase 2,Aurora kinase inhibitor|growth factor receptor inhibitor,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK,,,TRUE,,
PF-05212384,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,TRUE,,
GSK2126458,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,TRUE,,
tetrandrine,Preclinical,calcium channel blocker,SLC6A3,,,TRUE,,
I-BET-762,Phase 2,bromodomain inhibitor,BRD2|BRD3|BRD4,,,TRUE,,
LCL-161,Phase 2,XIAP inhibitor,BIRC2|XIAP,,,TRUE,,
sarafloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,TRUE,,
irinotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer,TRUE,,
ramatroban,Launched,prostanoid receptor antagonist,PTGDR2|TBXA2R,cardiology|pulmonary,coronary artery disease (CAD)|asthma,TRUE,,
pelitinib,Phase 2,EGFR inhibitor,EGFR,,,TRUE,,
D-4476,Preclinical,TGF beta receptor inhibitor,CSNK1A1|CSNK1D|TGFB1,,,TRUE,,
lovastatin,Launched,HMGCR inhibitor,HDAC2|HMGCR|ITGAL|NR1I2,cardiology|endocrinology,coronary heart disease|myocardial infarction|hypercholesterolemia,TRUE,,
PHA-680632,Preclinical,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,TRUE,,
VS-4718,Phase 1,focal adhesion kinase inhibitor,,,,TRUE,,
dabrafenib,Launched,RAF inhibitor,BRAF|LIMK1|NEK11|RAF1|SIK1,oncology,melanoma,TRUE,,
sulfasalazine,Launched,cyclooxygenase inhibitor,ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1,gastroenterology,ulcerative colitis,TRUE,,
temocapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|coronary artery disease (CAD),TRUE,,
CPI-1189,Phase 2,tumor necrosis factor release inhibitor,TNF,,,TRUE,,
norfloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|urology,urinary tract infections|gonorrhea|prostatitis,TRUE,,
tazemetostat,Launched,histone lysine methyltransferase inhibitor,EZH2,,,TRUE,,
aspirin,Launched,cyclooxygenase inhibitor,AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain,TRUE,,
morin,Preclinical,cytochrome P450 inhibitor,ADORA2A|ESR2|FASN|MCL1|SLC22A12,,,TRUE,,
carmofur,Launched,thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer,TRUE,,
JNJ-7706621,Preclinical,CDK inhibitor,AURKA|AURKB|CDK1|CDK2,,,TRUE,,
pyroxamide,Phase 1,HDAC inhibitor,HDAC1,,,TRUE,,
tipiracil,Launched,thymidine phosphorylase inhibitor,,oncology,colorectal cancer,TRUE,,
LY2608204,Phase 2,glucokinase activator,GCK,,,TRUE,,
vincristine,Launched,tubulin polymerization inhibitor,TUBA4A|TUBB,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
trametinib,Launched,MEK inhibitor,MAP2K1|MAP2K2,oncology,melanoma,TRUE,,
fedratinib,Launched,FLT3 inhibitor|JAK inhibitor,BRD4|JAK1|JAK2|JAK3|TYK2,hematologic malignancy,myelofibrosis,TRUE,,
nocodazole,Preclinical,tubulin polymerization inhibitor,HPGDS,,,TRUE,,
CX-5461,Phase 1,RNA polymerase inhibitor,,,,TRUE,,
PCI-24781,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6,,,TRUE,,
ciclopirox,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis,TRUE,,
BMS-754807,Phase 2,IGF-1 inhibitor,AKT1|IGF1R,,,TRUE,,
uridine,Phase 2,dopamine receptor agonist,LSM6|TYMP,,,TRUE,,
PFI-1,Preclinical,bromodomain inhibitor,BRD4,,,TRUE,,
artemisinin,Launched,DNA synthesis inhibitor,CYP2B6,infectious disease,malaria,TRUE,,
AR-42,Phase 1,HDAC inhibitor,HDAC1,,,TRUE,,
pentamidine,Launched,anti-pneumocystis agent,TRDMT1,infectious disease,pneumonia,TRUE,,
piperazine,Launched,benzodiazepine receptor agonist,GABRB3,infectious disease,gastrointestinal roundworms,TRUE,,
AT-7519,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK9,,,TRUE,,
everolimus,Launched,mTOR inhibitor,MTOR,oncology|neurology/psychiatry|genetics|urology,breast cancer|neuroendocrine tumors of pancreatic origin (PNET)|renal cell carcinoma (RCC)|subependymal giant cell astrocytoma (SEGA)|tuberous sclerosis complex (TSC)|renal angiomyolipoma,TRUE,,
BMS-345541,Preclinical,IKK inhibitor,CHUK|IKBKB,,,TRUE,,
pepstatin,Preclinical,aspartic protease inhibitor,CTSB|CTSD|CTSL|REN,,,TRUE,,
midostaurin,Launched,FLT3 inhibitor|KIT inhibitor|PKC inhibitor,FLT3|PRKCG,hematologic malignancy,acute myeloid leukemia (AML),TRUE,,
dinaciclib,Phase 3,CDK inhibitor,CDK1|CDK2|CDK5|CDK9,,,TRUE,,
givinostat,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,TRUE,,
ritodrine,Withdrawn,adrenergic receptor agonist,,obstetrics/gynecology,premature labor,TRUE,,
LY2603618,Phase 2,CHK inhibitor,CHEK1,,,TRUE,,
MK-0812,Phase 2,CC chemokine receptor antagonist,CCR2,,,TRUE,,
TG-02,Phase 1/Phase 2,CDK inhibitor|FLT3 inhibitor|JAK inhibitor,CDK1|CDK2|CDK7|CDK9|FLT3|JAK2,,,TRUE,,
IKK-16,Preclinical,IKK inhibitor,IKBKB,,,TRUE,,
berberine,Launched,LDL receptor activator,LDLR,,,TRUE,,
GW-501516,Phase 2,PPAR receptor agonist,PPARA|PPARD,,,TRUE,,
GSK650394,Preclinical,serum/glucocorticoid regulated kinase inhibitor,SGK1|SGK2,,,TRUE,,
gemcitabine,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer,TRUE,,
carfilzomib,Launched,proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9,hematologic malignancy,multiple myeloma,TRUE,,
papaverine,Launched,phosphodiesterase inhibitor,PDE10A|PDE4B|PDE5A,cardiology|hematology|gastroenterology,myocardial infarction|angina pectoris|pulmonary embolism (PE)|colitis|vascular spasm,TRUE,,
obatoclax,Phase 3,BCL inhibitor,BCL2,,,TRUE,,
cefdinir,Launched,bacterial cell wall synthesis inhibitor,MPO,infectious disease|otolaryngology|pulmonary,pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis,TRUE,,
clotrimazole,Launched,cytochrome P450 inhibitor|imidazoline receptor ligand,CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8,infectious disease,vulvovaginal candidiasis|oropharyngeal candidiasis,TRUE,,
CHIR-99021,Preclinical,glycogen synthase kinase inhibitor,CDK1|GSK3A|GSK3B|MAPK1,,,TRUE,,
oxymetazoline,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR2C,otolaryngology,nasal congestion,TRUE,,
PLX4720,Preclinical,RAF inhibitor,BRAF|KDR,,,TRUE,,
mocetinostat,Phase 2,HDAC inhibitor,HDAC1|HDAC11|HDAC2|HDAC3,,,TRUE,,
evacetrapib,Phase 3,cholesteryl ester transfer protein inhibitor,CETP,,,TRUE,,
regorafenib,Launched,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,ABL1|BRAF|DDR2|EPHA2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|NTRK1|PDGFRA|PDGFRB|RAF1|RET|TEK,oncology,colorectal cancer|gastrointestinal stromal tumors (GIST),TRUE,,
filgotinib,Phase 3,JAK inhibitor,JAK1|JAK2|JAK3|TYK2,,,TRUE,,
bendamustine,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|non-Hodgkin lymphoma (NHL),TRUE,,
chloroxine,Launched,opioid receptor antagonist,OPRK1,gastroenterology|infectious disease|dermatology,diarrhea|inflammatory bowel disease|giardiasis|dandruff,TRUE,,
LY2874455,Phase 1,FGFR antagonist,FGFR1|FGFR2|FGFR3|FGFR4|KDR,,,TRUE,,
GSK2830371,Preclinical,protein phosphatase inhibitor,PPM1D,,,TRUE,,
talmapimod,Phase 2,p38 MAPK inhibitor,IL1B|MAPK11|MAPK14|MT-CO2|TNF,,,TRUE,,
indisulam,Phase 2,CDK inhibitor,CA1|CA12|CA14|CA2|CA6|CA7|CA9,,,TRUE,,
PD-168393,Preclinical,EGFR inhibitor,EGFR|ERBB2|SRC,,,TRUE,,
JTC-801,Phase 2,opioid receptor antagonist,OPRL1,,,TRUE,,
belinostat,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,peripheral T-cell lymphoma (PTCL),TRUE,,
tranilast,Launched,angiogenesis inhibitor,HPGDS|HRH1,pulmonary,asthma,TRUE,,
indirubin,Phase 2/Phase 3,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK5|GSK3A,,,TRUE,,
HA14-1,Preclinical,BCL inhibitor,BCL2,,,TRUE,,
dalcetrapib,Phase 3,cholesteryl ester transfer protein inhibitor,CETP,,,TRUE,,
estradiol,Launched,estrogen receptor agonist,ESR1|ESR2|GPER1|KCNMA1|NR1I2,endocrinology,contraceptive,TRUE,,
LY2801653,Phase 2,MET inhibitor,MET,,,TRUE,,
pacritinib,Phase 3,FLT3 inhibitor|JAK inhibitor,FLT3|JAK1|JAK2|JAK3,,,TRUE,,
mubritinib,Phase 1,protein tyrosine kinase inhibitor,EGFR|ERBB2,,,TRUE,,
gossypol,Phase 2,BCL inhibitor|MCL1 inhibitor,BCL2,,,TRUE,,
RKI-1447,Preclinical,rho associated kinase inhibitor,CDC42BPA|DMPK|LIMK1|MYLK|PAK1|PKN1|ROCK1|ROCK2,,,TRUE,,
SB-242235,Phase 1,p38 MAPK inhibitor,HSPB1|MAPK14,,,TRUE,,
saracatinib,Phase 2/Phase 3,SRC inhibitor,ABL1|LCK|SRC|YES1,,,TRUE,,
lapatinib,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer,TRUE,,
eplerenone,Launched,cytochrome P450 inhibitor,NR3C2,cardiology,congestive heart failure|hypertension,TRUE,,
sonidegib,Launched,smoothened receptor antagonist,SMO,oncology,basal cell carcinoma (BCC),TRUE,,
BIX-02188,Preclinical,MEK inhibitor,MAP2K5,,,TRUE,,
LY2606368,Phase 2,CHK inhibitor,CHEK1,,,TRUE,,
bardoxolone,Phase 1,nuclear factor erythroid derived|like (NRF2) activator,NOS2|PPARG,,,TRUE,,
CEP-32496,Phase 1/Phase 2,RAF inhibitor,BRAF|RAF1,,,TRUE,,
SKI-II,Preclinical,sphingosine kinase inhibitor,SPHK1,,,TRUE,,
NVP-TAE226,Preclinical,protein tyrosine kinase inhibitor,PTK2,,,TRUE,,
riluzole,Launched,glutamate inhibitor,KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|SLC7A11,neurology/psychiatry,amyotrophic lateral sclerosis (ALS),TRUE,,
selinexor,Launched,exportin antagonist,XPO1,hematologic malignancy,multiple myeloma,TRUE,,
marimastat,Phase 3,matrix metalloprotease inhibitor,MMP1|MMP10|MMP11|MMP12|MMP13|MMP14|MMP15|MMP16|MMP17|MMP19|MMP2|MMP20|MMP21|MMP23A|MMP24|MMP25|MMP26|MMP27|MMP28|MMP3|MMP7|MMP8|MMP9,,,TRUE,,
desonide,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,gastroenterology,Crohn's disease,TRUE,,
mitoxantrone,Launched,topoisomerase inhibitor,TOP2A,neurology/psychiatry|oncology|hematologic malignancy,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML),TRUE,,
KW-2449,Phase 1,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor,ABL1|AURKA|AURKB|FLT3,,,TRUE,,
AMG900,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,,,TRUE,,
AMG458,Preclinical,MET inhibitor,MET,,,TRUE,,
napabucasin,Phase 3,STAT inhibitor,STAT3,,,TRUE,,
crenolanib,Phase 3,PDGFR tyrosine kinase receptor inhibitor,CSF1R|FLT3|KIT|PDGFRA|PDGFRB,,,TRUE,,
simvastatin,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia,TRUE,,
odanacatib,Phase 3,cathepsin inhibitor,CTSK,,,TRUE,,
AV-412,Phase 1,protein tyrosine kinase inhibitor,EGFR|ERBB2,,,TRUE,,
busulfan,Launched,DNA inhibitor,,hematologic malignancy,chronic myeloid leukemia (CML),TRUE,,
GDC-0980,Phase 2,mTOR inhibitor|PI3K inhibitor,FGR|MAP3K9|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|SYK,,,TRUE,,
CYT-997,Phase 2,tubulin polymerization inhibitor,TUBB,,,TRUE,,
nilutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer,TRUE,,
oridonin,Preclinical,BCL inhibitor,BCL2,,,TRUE,,
sorafenib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,oncology,renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC),TRUE,,
AT-9283,Phase 2,Aurora kinase inhibitor|JAK inhibitor,AURKA|AURKB|JAK2|JAK3|RPS6KA6|STK17A,,,TRUE,,
phlorizin,Preclinical,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A11|SLC5A2|SLC5A3,,,TRUE,,
NVP-AEW541,Preclinical,IGF-1 inhibitor,IGF1R|INSR,,,TRUE,,
5-fluorouracil,Launched,thymidylate synthase inhibitor,DPYD|TYMS,oncology,colorectal cancer|breast cancer|pancreatic cancer|gastric adenocarcinoma,TRUE,,
CNX-2006,Preclinical,EGFR inhibitor,EGFR,,,TRUE,,
apatinib,Phase 3,RET tyrosine kinase inhibitor,CSK|KDR|KIT|RET,,,TRUE,,
OSI-930,Phase 1,KIT inhibitor|VEGFR inhibitor,FLT1|KDR|KIT,,,TRUE,,
GSK2110183,Phase 2,AKT inhibitor,AKT1|AKT2|AKT3,,,TRUE,,
maprotiline,Launched,norepinephrine reputake inhibitor|tricyclic antidepressant,SLC6A2,neurology/psychiatry,depression|dysthymic disorder,TRUE,,
JNJ-16259685,Preclinical,glutamate receptor antagonist,GRM1,,,TRUE,,
LY2784544,Phase 2,JAK inhibitor,JAK2|JAK3,,,TRUE,,
PRT062070,Phase 2/Phase 3,JAK inhibitor|SYK inhibitor,SYK,,,TRUE,,
tucatinib,Phase 3,EGFR inhibitor,ERBB2,,,TRUE,,
NMS-873,Preclinical,ATPase inhibitor,VCP,,,TRUE,,
PD-153035,Phase 1,EGFR inhibitor,EGFR|KDR,,,TRUE,,
imiquimod,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC),TRUE,,
TAK-733,Phase 1,MEK inhibitor,MAP2K1,,,TRUE,,
VX-765,Phase 2,caspase inhibitor,CASP1,,,TRUE,,
VE-821,Preclinical,ATR kinase inhibitor,ATR,,,TRUE,,
BIX-01294,Preclinical,histone lysine methyltransferase inhibitor,EHMT1|EHMT2,,,TRUE,,
costunolide,Preclinical,telomerase inhibitor,,,,TRUE,,
AST-1306,Phase 1,EGFR inhibitor,EGFR|ERBB2,,,TRUE,,
calcitriol,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis,TRUE,,
beta-lapachone,Phase 2,topoisomerase inhibitor,TOP1,,,TRUE,,
cyproheptadine,Launched,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HRH1|HTR2A|HTR2C|HTR6|HTR7,allergy|otolaryngology|ophthalmology|dermatology,allergic rhinitis|vasomotor rhinitis|conjunctivitis|urticaria|dermatographism,TRUE,,
flutamide,Launched,androgen receptor antagonist,AHR|AR,oncology,prostate cancer,TRUE,,
TW-37,Preclinical,BCL inhibitor,BCL2|BCL2L1|MCL1,,,TRUE,,
AZD4547,Phase 2/Phase 3,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|IGF1R|KDR,,,TRUE,,
chidamide,Launched,HDAC inhibitor,HDAC10|HDAC3,hematologic malignancy,peripheral T-cell lymphoma (PTCL),TRUE,,
A-803467,Preclinical,sodium channel blocker,SCN10A,,,TRUE,,
resminostat,Phase 2,HDAC inhibitor,HDAC1|HDAC3|HDAC6|HDAC8,,,TRUE,,
genipin,Preclinical,choleretic agent,,,,TRUE,,
BGT226,Phase 1/Phase 2,PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CG,,,TRUE,,
chlorambucil,Launched,DNA inhibitor,,hematologic malignancy,chronic lymphocytic leukemia (CLL)|Hodgkin's lymphoma,TRUE,,
ziprasidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A4,neurology/psychiatry,schizophrenia|bipolar disorder,TRUE,,
MK-8245,Phase 2,stearoyl-CoA desaturase inhibitor,SCD,,,TRUE,,
axitinib,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4,oncology,renal cell carcinoma (RCC),TRUE,,
clomifene,Launched,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility,TRUE,,
KX2-391,Phase 3,SRC inhibitor|tubulin polymerization inhibitor,SRC,,,TRUE,,
docetaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,breast cancer|non-small cell lung cancer (NSCLC)|prostate cancer|gastric adenocarcinoma|head and neck squamous cell carcinoma (HNSCC),TRUE,,
unbs-5162,Phase 1,CC chemokine receptor antagonist,,,,TRUE,,
lucitanib,Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,,,TRUE,,
AZD9668,Phase 2,elastase inhibitor,ELANE,,,TRUE,,
icotinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),TRUE,,
temozolomide,Launched,DNA alkylating agent,MGMT,oncology,glioblastoma|astrocytoma,TRUE,,
AMG-208,Phase 1,tyrosine kinase inhibitor,MET,,,TRUE,,
etomoxir,Phase 2,carnitine palmitoyltransferase inhibitor,CPT1A,,,TRUE,,
vanoxerine,Phase 3,dopamine reuptake inhibitor,SLC6A3,,,TRUE,,
disulfiram,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2|DBH,neurology/psychiatry,abstinence from alcohol,TRUE,,
azathioprine,Launched,dehydrogenase inhibitor,HPRT1|IMPDH1|PPAT,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis,TRUE,,
adapalene,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,dermatology,acne vulgaris (AV),TRUE,,
ouabain,Launched,ATPase inhibitor,ATP1A1,cardiology,hypertension|cardiac arrythmia,TRUE,,
tivantinib,Phase 3,tyrosine kinase inhibitor,MET,,,TRUE,,
exemestane,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,TRUE,,
rociletinib,Phase 3,EGFR inhibitor,EGFR,,,TRUE,,
abemaciclib,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer,TRUE,,
clofarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
cimetidine,Launched,histamine receptor antagonist,HRH2|SLC29A4|SLC47A1|SLC47A2,gastroenterology|hematologic malignancy|endocrinology,duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma,TRUE,,
streptozotocin,Launched,DNA alkylating agent,,oncology,pancreatic cancer,TRUE,,
levonorgestrel,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,PGR,endocrinology,contraceptive,TRUE,,
methylprednisolone,Launched,glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|dermatology|infectious disease|allergy|hematology|neurology/psychiatry|gastroenterology,hypercalcemia|thyroiditis|ankylosing spondylitis|bursitis|osteoarthritis|psoriatic arthritis|seborrheic dermatitis|mycosis|allergic rhinitis|psoriasis|anemia|multiple sclerosis|ulcerative colitis|enteritis,TRUE,,
ciclesonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,allergy,allergic rhinitis,TRUE,,
dacarbazine,Launched,DNA alkylating agent,PGD|POLA2,oncology|hematologic malignancy,melanoma|Hodgkin's lymphoma,TRUE,,
gimeracil,Launched,dihydropyrimidine dehydrogenase inhibitor,DPYD,oncology,gastric adenocarcinoma,TRUE,,
niclosamide,Launched,DNA replication inhibitor|STAT inhibitor,STAT3,infectious disease,tapeworm,TRUE,,
ABT-702,Preclinical,adenosine kinase inhibitor,ADK,,,TRUE,,
cycloheximide,Preclinical,protein synthesis inhibitor,RPL3,,,TRUE,,
carmustine,Launched,DNA alkylating agent|DNA inhibitor,GSR,hematologic malignancy|oncology,non-Hodgkin lymphoma (NHL)|Hodgkin's lymphoma|multiple myeloma|glioblastoma|brainstem glioma|medulloblastoma|astrocytoma|ependymoma,TRUE,,
I-BET151,Preclinical,bromodomain inhibitor,BRD2|BRD3|BRD4,,,TRUE,,
dolutegravir,Launched,HIV integrase inhibitor,CYP3A4|CYP3A5|CYP3A7|POU2F2|UGT1A1,infectious disease,human immunodeficiency virus (HIV-1),TRUE,,
bindarit,Phase 2,NFkB pathway inhibitor,CCL2|CCL7|CCL8,,,TRUE,,
tamibarotene,Launched,retinoid receptor agonist,RARA|RARB,hematologic malignancy,acute promyelocytic leukemia (APL),TRUE,,
GSK1070916,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC|CYP2D6|CYP3A4,,,TRUE,,
ribociclib,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer,TRUE,,
CEP-33779,Preclinical,JAK inhibitor,JAK2,,,TRUE,,
mifepristone,Launched,glucocorticoid receptor antagonist|progesterone receptor antagonist,AR|NR1I2|NR3C1|PGR,endocrinology,hyperglycemia|diabetes mellitus,TRUE,,
filanesib,Phase 3,kinesin inhibitor|kinesin-like spindle protein inhibitor,KIF11,,,TRUE,,
AZD8330,Phase 1,MEK inhibitor,MAP3K1,,,TRUE,,
SB-525334,Preclinical,TGF beta receptor inhibitor,TGFBR1,,,TRUE,,
dioscin,Preclinical,apoptosis stimulant,CXCR3,,,TRUE,,
PF-03758309,Phase 1,p21 activated kinase inhibitor,PAK4,,,TRUE,,
etoposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,non-small cell lung cancer (NSCLC),TRUE,,
